sample_name	sample_set	replicate	probe_set	library_prep
KGNG-NTG-171	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-170	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-169	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-168	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-165	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-164	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-163	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-159	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-158	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-157	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-156	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-153	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-151	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-150	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-149	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-148	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-141	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-140	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-139	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-137	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-136	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-135	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-134	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-130	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-128	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-127	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-126	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-124	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-123	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-120	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-118	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-117	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-116	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-115	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-113	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-112	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-111	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-110	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-109	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-108	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-104	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-101	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-100	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-098	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-096	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-094	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-091	2023-MSMT	1	DR23K	placeholder
KGNG-NTG-090	2023-MSMT	1	DR23K	placeholder
