District	Latitude	Longitude	mdr1-NFD1ANY	mdr1-NFD1PUR	sulfa-SUP1ANY	sulfa-SUP1PUR
Karagwe	-1.7191994	31.024272	77/152	40/152	17/155	4/155
Karagwe	-1.7191994	31.024272	50.7	26.3	11.0	2.6
Karagwe	-1.7191994	31.024272	42.4-58.9	19.5-34.1	6.5-17.0	0.7-6.5
Muleba	-1.8032641	31.550203	39/62	32/62	0/69	0/69
Muleba	-1.8032641	31.550203	62.9	51.6	0.0	0.0
Muleba	-1.8032641	31.550203	49.7-74.8	38.6-64.5	0.0-5.2	0.0-5.2
Ngara	-2.4975722	30.598627	37/78	28/78	10/90	8/90
Ngara	-2.4975722	30.598627	47.4	35.9	11.1	8.9
Ngara	-2.4975722	30.598627	36.0-59.1	25.3-47.6	5.5-19.5	3.9-16.8
overall			153/292	100/292	27/314	12/314
overall			52.4	34.2	8.6	3.8
overall			46.5-58.2	28.8-40.0	5.7-12.3	2.0-6.6
