District	Latitude	Longitude	mdr1-NFD1ANY	mdr1-NFD1PUR	sulfa-SUP1ANY	sulfa-SUP1PUR
Biharamulo	-2.81081	31.6887	5/20	0/20	0/20	0/20
Biharamulo	-2.81081	31.6887	25.0	0.0	0.0	0.0
Biharamulo	-2.81081	31.6887	8.7-49.1	0.0-16.8	0.0-16.8	0.0-16.8
Bukoba DC	-1.425575	31.5601957	17/35	6/35	1/35	1/35
Bukoba DC	-1.425575	31.5601957	48.6	17.1	2.9	2.9
Bukoba DC	-1.425575	31.5601957	31.4-66.0	6.6-33.6	0.1-14.9	0.1-14.9
Karagwe	-1.7191994	31.024272	44/118	29/118	12/94	7/94
Karagwe	-1.7191994	31.024272	37.3	24.6	12.8	7.4
Karagwe	-1.7191994	31.024272	28.6-46.7	17.1-33.4	6.8-21.2	3.0-14.7
Kyerwa	-1.3694933	30.8244814	49/99	38/99	18/85	9/85
Kyerwa	-1.3694933	30.8244814	49.5	38.4	21.2	10.6
Kyerwa	-1.3694933	30.8244814	39.3-59.7	28.8-48.7	13.1-31.4	5.0-19.2
Misenyi	-1.25452	31.4204	8/25	4/25	1/25	1/25
Misenyi	-1.25452	31.4204	32.0	16.0	4.0	4.0
Misenyi	-1.25452	31.4204	14.9-53.5	4.5-36.1	0.1-20.4	0.1-20.4
Muleba	-1.8001842	31.5414111	81/149	44/149	0/141	0/141
Muleba	-1.8001842	31.5414111	54.4	29.5	0.0	0.0
Muleba	-1.8001842	31.5414111	46.0-62.5	22.3-37.5	0.0-2.6	0.0-2.6
Ngara	-2.4965976	30.6161532	57/129	30/129	1/113	1/113
Ngara	-2.4965976	30.6161532	44.2	23.3	0.9	0.9
Ngara	-2.4965976	30.6161532	35.5-53.2	16.3-31.5	0.0-4.8	0.0-4.8
overall			261/575	151/575	33/513	19/513
overall			45.4	26.3	6.4	3.7
overall			41.3-49.6	22.7-30.1	4.5-8.9	2.2-5.7
